0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-9.92135085029118,0.5331265500591673,4.30809437714575,-2.078719792726983,6.856755402178621,Mitsubishi,Mirage,GLX,Hatchback,Petrol,Automatic Transmission,1000 - 1499 cc,0 - 99 HP,White,White,Yes,Dubai,Dealer,29900
-8.821080937631784,0.4874413980587049,-18.802838950446446,-2.080316455548742,-26.420626211162663,Bentley,Continental GT,Other,Coupe,Petrol,Automatic Transmission,3000 - 3499 cc,500 - 599 HP,White,Unknown,Yes,Dubai,Owner,899000
-8.87623954394752,0.2736517837006416,45.03896135290243,-2.0285018792718437,-6.11269700550886,Dodge,Charger,R/T,Sedan,Petrol,Automatic Transmission,,300 - 399 HP,Black,Unknown,No,Sharjah,Owner,23000
-7.957730577471635,0.5972026645038719,-10.153391265422556,-2.085591254309384,8.709851124753694,Bentley,Bentayga,Special Edition,SUV,Petrol,Automatic Transmission,,600 - 699 HP,White,Beige,Yes,Dubai,Dealer,995000
-9.616234197963477,0.7184477008077554,7.042893607239036,-2.0324320363040016,-12.333824585539356,Audi,Q7,S-line,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Grey,Beige,No,Dubai,Dealer,53000
-10.065852204324813,0.30340214741720095,16.0684909840327,-2.0828145884939073,5.60624429561679,Infiniti,QX50,Luxury,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Black,No,Dubai,Dealer,100900
-9.190996172074126,0.5095605722798815,0.581263685191141,-2.0971551003307605,-3.262009440120719,Mercedes-AMG,GT,Other,Sedan,Hybrid,Automatic Transmission,2500 - 2999 cc,300 - 399 HP,White,Brown,Yes,Dubai,Dealer,469000
-9.108371450366121,0.546732705305927,,-2.0644886995413487,-12.276340589758199,Lexus,LS-Series,F Sport,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,400 - 499 HP,Silver,Unknown,No,Dubai,Dealer,185000
-9.99802204874519,1.5206770205885713,,-2.058284600784841,,Mercedes-Benz,V-Class,V 250,SUV,Petrol,Automatic Transmission,Unknown,Unknown,Silver,Beige,Yes,Dubai,Dealer,129000
-10.039363044880552,0.9385658541977694,-21.709133543444942,-2.0792623299148962,-13.56222741986464,Toyota,Highlander,Other,SUV,Hybrid,Automatic Transmission,0 - 499 cc,100 - 199 HP,Grey,Unknown,Does not apply,Dubai,Dealer,139500
,0.4020845191362318,0.3356542787655572,-2.0844694419367418,-8.820848837981266,Dodge,Charger,SRT 392,Sports Car,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Green,Black,Yes,Dubai,Dealer,140000
-9.0570782943355,0.19666879995081576,2.496217597755429,,-32.85606932562136,Ferrari,F8 Spider,,Hard Top Convertible,Petrol,Automatic Transmission,,700 - 799 HP,White,Unknown,Yes,Dubai,Dealer,1590
,0.1845392174815586,3.3273182063121283,-2.102363840782364,-33.49439245777929,Porsche,Cayman,GT4,Coupe,Petrol,Automatic Transmission,Unknown,400 - 499 HP,Yellow,Black,Yes,Dubai,Dealer,455000
-9.879107994486063,0.29096819946099234,-1.3356825282653828,-2.079654242226594,-2.4790654143851767,Land Rover,Range Rover Velar,R-Dynamic,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Black,Yes,Dubai,Dealer,340000
